,image_name,x,y,score
58,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,2017,1760,0.1761869490146637
59,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1585,1737,0.7237685918807983
60,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1590,1731,0.132894828915596
61,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1769,1719,0.15604828298091888
62,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1770,1713,0.4817342460155487
63,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,293,1668,0.8557044863700867
64,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,289,1661,0.2553968131542206
65,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1161,1629,0.40319889783859253
66,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,13,1607,0.714279055595398
67,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1147,1606,0.8028212785720825
68,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,16,1604,0.11796393245458603
69,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,471,1558,0.9122048020362854
70,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,477,1556,0.6662763953208923
71,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,19,1497,0.7442076802253723
72,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,771,1430,0.5461685657501221
73,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,768,1422,0.9630922675132751
74,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1733,1413,0.5832918286323547
75,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1733,1410,0.8576381802558899
76,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,261,1262,0.9814778566360474
77,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,244,1260,0.7150598764419556
78,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1138,1236,0.9447294473648071
79,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1421,1210,0.9475992321968079
80,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,877,1059,0.1010235846042633
81,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,871,1057,0.9713438153266907
82,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,572,1050,0.5065330266952515
83,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,572,1043,0.7737684845924377
84,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1553,1039,0.9665501117706299
85,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1980,947,0.9652301669120789
